	Train Data	Test Data
0	50	50
1	71.42857143	70.75
2	50	50
3	50	50
4	69	68.75
5	61.35714286	60.125
6	77.35714286	77
7	85.71428571	84
8	95.64285714	96
9	95.71428571	96.125
10	95.92857143	96
11	96.5	96.25
12	96.78571429	96.375
13	97	96.75
14	96.92857143	96.625
15	97.28571429	96.875
16	97.64285714	97
17	97.57142857	97.125
18	97.85714286	97.125
19	97.85714286	97.25
20	98.14285714	97.125
21	98.28571429	97.25
22	98.28571429	97.125
23	98.21428571	97.125
24	98.5	97.125
25	98.64285714	97.25
26	98.71428571	97.25
27	98.57142857	97.25
28	98.71428571	97.125
29	98.71428571	97.25
30	98.78571429	97.25
31	98.78571429	97.625
32	98.92857143	97.625
33	98.92857143	97.625
34	98.92857143	97.625
35	98.85714286	97.625
36	98.92857143	97.625
37	98.92857143	97.5
38	98.85714286	97.5
39	98.85714286	97.5
40	98.92857143	97.5
41	99	97.5
42	98.85714286	97.375
43	99	97.5
44	98.92857143	97.375
45	98.92857143	97.375
46	98.78571429	97.375
47	99	97.375
48	98.92857143	97.375
49	99.07142857	97.5
50	99.07142857	97.375
51	99	97.25
52	99.14285714	97.5
53	99	97.25
54	99.21428571	97.375
55	99.14285714	97.375
56	99.21428571	97.375
57	99.07142857	97.5
58	99.21428571	97.5
59	99.14285714	97.5
60	99.35714286	97.5
61	99.21428571	97.5
62	99.21428571	97.5
63	99.28571429	97.5
64	99.21428571	97.5
65	99.35714286	97.5
66	99.07142857	97.5
67	99.35714286	97.5
68	99.35714286	97.5
69	99.42857143	97.5
70	99.28571429	97.5
71	99.35714286	97.625
72	99.35714286	97.625
73	99.42857143	97.5
74	99.5	97.5
75	99.42857143	97.5
76	99.35714286	97.5
77	99.57142857	97.5
78	99.35714286	97.375
79	99.5	97.5
80	99.28571429	97.625
81	99.42857143	97.5
82	99.35714286	97.5
83	99.57142857	97.5
84	99.5	97.625
85	99.64285714	97.625
86	99.64285714	97.625
87	99.57142857	97.625
88	99.57142857	97.625
89	99.57142857	97.625
90	99.42857143	97.625
91	99.64285714	97.625
92	99.42857143	97.625
93	99.64285714	97.625
94	99.42857143	97.625
95	99.57142857	97.625
96	99.57142857	97.625
97	99.64285714	97.625
98	99.5	97.625
99	99.5	97.625
